   0.0000000e+00   7.4161753e+01
   1.0000000e+00   7.0276044e+01
   2.0000000e+00   6.9657795e+01
   3.0000000e+00   6.9390069e+01
   4.0000000e+00   6.9266730e+01
   5.0000000e+00   6.9212033e+01
   6.0000000e+00   6.9186569e+01
   7.0000000e+00   6.9174751e+01
   8.0000000e+00   6.9169323e+01
   9.0000000e+00   6.9166833e+01
   1.0000000e+01   6.9165687e+01
   1.1000000e+01   6.9165158e+01
   1.2000000e+01   6.9164912e+01
   1.3000000e+01   6.9164797e+01
   1.4000000e+01   6.9164744e+01
   1.5000000e+01   6.9164719e+01
   1.6000000e+01   6.9164707e+01
   1.7000000e+01   6.9164701e+01
   1.8000000e+01   6.9164699e+01
   1.9000000e+01   6.9164697e+01
   2.0000000e+01   6.9164697e+01
